File: Users\Mutlugun\Desktop\Emre\220517\x.IRR;
RAD->Wave:648.50nm  Pix:1050  Val:  0.000  Time:25ms  Avg:1  Sm:1  Sg:0  Tc:off  SNAP  Xt:3  Ch:1  Wr:400-700 Xtrig wnmcal;
246;0.00E+00
246.5;0.00E+00
247;0.00E+00
247.5;0.00E+00
248;0.00E+00
248.5;0.00E+00
249;0.00E+00
249.5;0.00E+00
250;0.00E+00
250.5;0.00E+00
251;0.00E+00
251.5;0.00E+00
252;0.00E+00
252.5;0.00E+00
253;0.00E+00
253.5;0.00E+00
254;0.00E+00
254.5;0.00E+00
255;0.00E+00
255.5;0.00E+00
256;0.00E+00
256.5;0.00E+00
257;0.00E+00
257.5;0.00E+00
258;0.00E+00
258.5;0.00E+00
259;0.00E+00
259.5;0.00E+00
260;0.00E+00
260.5;0.00E+00
261;0.00E+00
261.5;0.00E+00
262;0.00E+00
262.5;0.00E+00
263;0.00E+00
263.5;0.00E+00
264;0.00E+00
264.5;0.00E+00
265;0.00E+00
265.5;0.00E+00
266;0.00E+00
266.5;0.00E+00
267;0.00E+00
267.5;0.00E+00
268;0.00E+00
268.5;0.00E+00
269;0.00E+00
269.5;0.00E+00
270;0.00E+00
270.5;0.00E+00
271;0.00E+00
271.5;0.00E+00
272;0.00E+00
272.5;0.00E+00
273;0.00E+00
273.5;0.00E+00
274;0.00E+00
274.5;0.00E+00
275;0.00E+00
275.5;0.00E+00
276;0.00E+00
276.5;0.00E+00
277;0.00E+00
277.5;0.00E+00
278;0.00E+00
278.5;0.00E+00
279;0.00E+00
279.5;0.00E+00
280;0.00E+00
280.5;0.00E+00
281;0.00E+00
281.5;0.00E+00
282;0.00E+00
282.5;0.00E+00
283;0.00E+00
283.5;0.00E+00
284;0.00E+00
284.5;0.00E+00
285;0.00E+00
285.5;0.00E+00
286;0.00E+00
286.5;0.00E+00
287;0.00E+00
287.5;0.00E+00
288;0.00E+00
288.5;0.00E+00
289;0.00E+00
289.5;0.00E+00
290;0.00E+00
290.5;0.00E+00
291;0.00E+00
291.5;0.00E+00
292;0.00E+00
292.5;0.00E+00
293;0.00E+00
293.5;0.00E+00
294;0.00E+00
294.5;0.00E+00
295;0.00E+00
295.5;0.00E+00
296;0.00E+00
296.5;0.00E+00
297;0.00E+00
297.5;0.00E+00
298;0.00E+00
298.5;0.00E+00
299;0.00E+00
299.5;0.00E+00
300;2.41E-06
300.5;3.97E-06
301;2.90E-06
301.5;1.49E-06
302;7.69E-07
302.5;3.79E-06
303;6.72E-06
303.5;9.26E-06
304;1.06E-05
304.5;9.18E-06
305;7.57E-06
305.5;4.46E-06
306;1.69E-06
306.5;2.79E-09
307;0.00E+00
307.5;0.00E+00
308;8.05E-07
308.5;2.15E-06
309;1.40E-06
309.5;1.04E-06
310;1.28E-06
310.5;1.15E-06
311;9.98E-07
311.5;1.13E-07
312;0.00E+00
312.5;2.77E-08
313;1.42E-06
313.5;2.37E-06
